"Jahr","Sesson","Sum(Prediction_real)","Jahr (Right)","Total_Jahr","Anteil"
2032,"Winter_Haupt",38322632.08098342,2032,111128319.96322946,34.48502784318502
2032,"Übergang",13518342.857286924,2032,111128319.96322946,12.1646245185385
2033,"Sommer_Haupt",33072776.45426985,2033,115841581.3661971,28.55000429398539
2033,"Sommer_Neben",22919991.418485515,2033,115841581.3661971,19.78563409457533
2033,"Winter_Haupt",44380561.63758596,2033,115841581.3661971,38.311425926835916
2033,"Übergang",15468251.855855782,2033,115841581.3661971,13.35293568460337
2034,"Sommer_Haupt",34224996.07315441,2034,105764512.84572193,32.35962153305449
2034,"Sommer_Neben",23685788.983142935,2034,105764512.84572193,22.3948357968549
2034,"Winter_Haupt",35846463.16511572,2034,105764512.84572193,33.892713350275386
2034,"Übergang",12007264.624308875,2034,105764512.84572193,11.35282931981524
2035,"Sommer_Haupt",33702339.98852085,2035,107666641.41670093,31.30249030252842
2035,"Sommer_Neben",24681945.229650386,2035,107666641.41670093,22.92441271026942
2035,"Winter_Haupt",37186692.64453685,2035,107666641.41670093,34.538731918471974
2035,"Übergang",12095663.55399287,2035,107666641.41670093,11.234365068730217
2036,"Sommer_Haupt",38526472.77024031,2036,110561415.57169937,34.84621879253689
2036,"Sommer_Neben",22815103.361434054,2036,110561415.57169937,20.635683111924703
2036,"Winter_Haupt",35280542.478646316,2036,110561415.57169937,31.910357059210035
2036,"Übergang",13939296.961378714,2036,110561415.57169937,12.607741036328395
2037,"Sommer_Haupt",35530858.77095539,2037,110126417.48449472,32.263701646299324
2037,"Sommer_Neben",22839123.803335533,2037,110126417.48449472,20.739005522041225
2037,"Winter_Haupt",38564755.16564924,2037,110126417.48449472,35.01862318464957
2037,"Übergang",13191679.744554564,2037,110126417.48449472,11.978669647009893
2038,"Sommer_Haupt",35428953.86437998,2038,112996637.66691838,31.3539894601239
2038,"Sommer_Neben",23465105.727602955,2038,112996637.66691838,20.7661981914642
2038,"Winter_Haupt",41831634.95244327,2038,112996637.66691838,37.02024751900221
2038,"Übergang",12270943.122492136,2038,112996637.66691838,10.85956482940966
2039,"Sommer_Haupt",38783846.814825565,2039,112046713.53112677,34.61399767343586
2039,"Sommer_Neben",23430526.881357677,2039,112046713.53112677,20.91139145714313
2039,"Winter_Haupt",37990167.23582371,2039,112046713.53112677,33.90565063317987
2039,"Übergang",11842172.599119794,2039,112046713.53112677,10.568960236241127
2040,"Sommer_Haupt",36615001.80155106,2040,109443924.35921286,33.45549057741628
2040,"Sommer_Neben",22997202.496173393,2040,109443924.35921286,21.01277218522685
2040,"Winter_Haupt",36883144.89733399,2040,109443924.35921286,33.700495585554364
2040,"Übergang",12948575.164154384,2040,109443924.35921286,11.831241651802472
2041,"Sommer_Haupt",36080728.26044725,2041,107264611.25338678,33.63712210284828
2041,"Sommer_Neben",21958048.42699393,2041,107264611.25338678,20.470915962323616
2041,"Winter_Haupt",36577756.42087868,2041,107264611.25338678,34.100488496129024
2041,"Übergang",12648078.145066962,2041,107264611.25338678,11.791473438699112
2042,"Sommer_Haupt",34140655.97635577,2042,111884407.76676323,30.514221470006937
2042,"Sommer_Neben",23398517.725947063,2042,111884407.76676323,20.913117558546805
2042,"Winter_Haupt",40337651.844773956,2042,111884407.76676323,36.05296989090986
2042,"Übergang",14007582.219686462,2042,111884407.76676323,12.519691080536427
2043,"Sommer_Haupt",33017240.925924893,2043,111027884.06584586,29.73779173017815
2043,"Sommer_Neben",25323025.279225215,2043,111027884.06584586,22.807806788614666
2043,"Winter_Haupt",39595698.43990568,2043,111027884.06584586,35.662841612313514
2043,"Übergang",13091919.420790086,2043,111027884.06584586,11.791559868893684
2044,"Sommer_Haupt",32784220.600610383,2044,110494857.04194494,29.6703588549512
2044,"Sommer_Neben",23889109.97214565,2044,110494857.04194494,21.62011030348418
2044,"Winter_Haupt",40754507.83216539,2044,110494857.04194494,36.88362420044091
2044,"Übergang",13067018.637023527,2044,110494857.04194494,11.825906641123721
2045,"Sommer_Haupt",35138613.279697075,2045,109445732.18728858,32.10596939455461
2045,"Sommer_Neben",23589716.614124637,2045,109445732.18728858,21.553802183676588
2045,"Winter_Haupt",37508526.747364365,2045,109445732.18728858,34.27134708476164
2045,"Übergang",13208875.546102455,2045,109445732.18728858,12.06888133700711
2046,"Sommer_Haupt",34517598.95882065,2046,105147183.1450112,32.8278874681945
2046,"Sommer_Neben",23208179.590304054,2046,105147183.1450112,22.072088758000348
2046,"Winter_Haupt",34130957.055070184,2046,105147183.1450112,32.46017252597181
2046,"Übergang",13290447.540816309,2046,105147183.1450112,12.639851247833342
2047,"Sommer_Haupt",37196197.437077194,2047,113605354.09643526,32.741588398644275
2047,"Sommer_Neben",23280464.04488592,2047,113605354.09643526,20.492400406695637
2047,"Winter_Haupt",39761598.29851662,2047,113605354.09643526,34.99975737478404
2047,"Übergang",13367094.315955544,2047,113605354.09643526,11.766253819876065
2048,"Sommer_Haupt",34574199.00868059,2048,109526253.75317296,31.567042443172195
2048,"Sommer_Neben",23137979.676371668,2048,109526253.75317296,21.125509988240022
2048,"Winter_Haupt",39042722.52615047,2048,109526253.75317296,35.646907648404266
2048,"Übergang",12771352.541970205,2048,109526253.75317296,11.660539920183492
2049,"Sommer_Haupt",34558419.02083225,2049,108580803.11105575,31.827374665378116
2049,"Sommer_Neben",23570127.18171138,2049,108580803.11105575,21.707453349377058
2049,"Winter_Haupt",37816008.22191967,2049,108580803.11105575,34.82752672518152
2049,"Übergang",12636248.686592484,2049,108580803.11105575,11.637645260063337
