"Datum","Year","Sesson","Sum(Sum(SA_Nächtigungen))"
"1994-07-01",1994,"Sommer_Haupt",18431714
"1994-08-01",1994,"Sommer_Haupt",19788350
"1994-09-01",1994,"Sommer_Neben",10478493
"1994-10-01",1994,"Übergang",5158867
"1994-11-01",1994,"Übergang",2413576
"1994-12-01",1994,"Winter_Haupt",6890854
"1995-01-01",1995,"Winter_Haupt",11949733
"1995-02-01",1995,"Winter_Haupt",13784286
"1995-03-01",1995,"Winter_Haupt",9973238
"1995-04-01",1995,"Übergang",6394745
"1995-05-01",1995,"Sommer_Neben",5760968
"1995-06-01",1995,"Sommer_Neben",9406828
"1995-07-01",1995,"Sommer_Haupt",17157632
"1995-08-01",1995,"Sommer_Haupt",18371499
"1995-09-01",1995,"Sommer_Neben",9733012
"1995-10-01",1995,"Übergang",5144266
"1995-11-01",1995,"Übergang",2336505
"1995-12-01",1995,"Winter_Haupt",7101611
"1996-01-01",1996,"Winter_Haupt",11021217
"1996-02-01",1996,"Winter_Haupt",13584535
"1996-03-01",1996,"Winter_Haupt",10834969
"1996-04-01",1996,"Übergang",5622908
"1996-05-01",1996,"Sommer_Neben",5858185
"1996-06-01",1996,"Sommer_Neben",8583900
"1996-07-01",1996,"Sommer_Haupt",16380064
"1996-08-01",1996,"Sommer_Haupt",16869802
"1996-09-01",1996,"Sommer_Neben",9024538
"1996-10-01",1996,"Übergang",5163621
"1996-11-01",1996,"Übergang",2430703
"1996-12-01",1996,"Winter_Haupt",7561523
"1997-01-01",1997,"Winter_Haupt",10476333
"1997-02-01",1997,"Winter_Haupt",12630284
"1997-03-01",1997,"Winter_Haupt",11297525
"1997-04-01",1997,"Übergang",4410157
"1997-05-01",1997,"Sommer_Neben",6176819
"1997-06-01",1997,"Sommer_Neben",7829616
"1997-07-01",1997,"Sommer_Haupt",14269582
"1997-08-01",1997,"Sommer_Haupt",17332678
"1997-09-01",1997,"Sommer_Neben",9235924
"1997-10-01",1997,"Übergang",5200106
"1997-11-01",1997,"Übergang",2377910
"1997-12-01",1997,"Winter_Haupt",7868904
"1998-01-01",1998,"Winter_Haupt",10345910
"1998-02-01",1998,"Winter_Haupt",13132785
"1998-03-01",1998,"Winter_Haupt",9345651
"1998-04-01",1998,"Übergang",6468899
"1998-05-01",1998,"Sommer_Neben",5901757
"1998-06-01",1998,"Sommer_Neben",8287345
"1998-07-01",1998,"Sommer_Haupt",13974672
"1998-08-01",1998,"Sommer_Haupt",18446576
"1998-09-01",1998,"Sommer_Neben",9465346
"1998-10-01",1998,"Übergang",5177470
"1998-11-01",1998,"Übergang",2542893
"1998-12-01",1998,"Winter_Haupt",8067156
"1999-01-01",1999,"Winter_Haupt",11835562
