"SA_Bundesland(AT)","SA_Datum","Sum(SA_Nächtigungen)","Month","Year","Sesson"
"Burgenland","1987-09-01",225099,9,1987,"Sommer_Neben"
"Burgenland","1987-10-01",106522,10,1987,"Übergang"
"Burgenland","1987-11-01",53626,11,1987,"Übergang"
"Burgenland","1987-12-01",34202,12,1987,"Winter_Haupt"
"Burgenland","1988-01-01",52757,1,1988,"Winter_Haupt"
"Burgenland","1988-02-01",44265,2,1988,"Winter_Haupt"
"Burgenland","1988-03-01",57638,3,1988,"Winter_Haupt"
"Burgenland","1988-04-01",87453,4,1988,"Übergang"
"Burgenland","1988-05-01",185879,5,1988,"Sommer_Neben"
"Burgenland","1988-06-01",232056,6,1988,"Sommer_Neben"
"Burgenland","1988-07-01",458341,7,1988,"Sommer_Haupt"
"Burgenland","1988-08-01",510541,8,1988,"Sommer_Haupt"
"Burgenland","1988-09-01",212742,9,1988,"Sommer_Neben"
"Burgenland","1988-10-01",114420,10,1988,"Übergang"
"Burgenland","1988-11-01",52701,11,1988,"Übergang"
"Burgenland","1988-12-01",34001,12,1988,"Winter_Haupt"
"Burgenland","1989-01-01",38323,1,1989,"Winter_Haupt"
"Burgenland","1989-02-01",40603,2,1989,"Winter_Haupt"
"Burgenland","1989-03-01",64828,3,1989,"Winter_Haupt"
"Burgenland","1989-04-01",90423,4,1989,"Übergang"
"Burgenland","1989-05-01",183634,5,1989,"Sommer_Neben"
"Burgenland","1989-06-01",239832,6,1989,"Sommer_Neben"
"Burgenland","1989-07-01",443209,7,1989,"Sommer_Haupt"
"Burgenland","1989-08-01",525874,8,1989,"Sommer_Haupt"
"Burgenland","1989-09-01",214206,9,1989,"Sommer_Neben"
"Burgenland","1989-10-01",115196,10,1989,"Übergang"
"Burgenland","1989-11-01",60936,11,1989,"Übergang"
"Burgenland","1989-12-01",37564,12,1989,"Winter_Haupt"
"Burgenland","1990-01-01",38952,1,1990,"Winter_Haupt"
"Burgenland","1990-02-01",40733,2,1990,"Winter_Haupt"
"Burgenland","1990-03-01",57371,3,1990,"Winter_Haupt"
"Burgenland","1990-04-01",96349,4,1990,"Übergang"
"Burgenland","1990-05-01",184975,5,1990,"Sommer_Neben"
"Burgenland","1990-06-01",271268,6,1990,"Sommer_Neben"
