valid_time,t2m,latitude,longitude
2025-01-12 16:00:00,268.02075,47.5,13.3
2025-01-12 17:00:00,267.26733,47.5,13.3
2025-01-12 18:00:00,266.65405,47.5,13.3
2025-01-12 19:00:00,265.8684,47.5,13.3
2025-01-12 20:00:00,265.84082,47.5,13.3
2025-01-12 21:00:00,265.49072,47.5,13.3
2025-01-12 22:00:00,265.1836,47.5,13.3
2025-01-12 23:00:00,265.02808,47.5,13.3
2025-01-13 00:00:00,264.54492,47.5,13.3
2025-01-13 01:00:00,264.48584,47.5,13.3
2025-01-13 02:00:00,264.6267,47.5,13.3
2025-01-13 03:00:00,264.35083,47.5,13.3
2025-01-13 04:00:00,263.98755,47.5,13.3
2025-01-13 05:00:00,263.854,47.5,13.3
2025-01-13 06:00:00,263.68408,47.5,13.3
2025-01-13 07:00:00,261.74707,47.5,13.3
2025-01-13 08:00:00,262.46338,47.5,13.3
2025-01-13 09:00:00,264.38452,47.5,13.3
2025-01-13 10:00:00,265.75903,47.5,13.3
2025-01-13 11:00:00,266.69824,47.5,13.3
2025-01-13 12:00:00,267.35938,47.5,13.3
2025-01-13 13:00:00,267.7693,47.5,13.3
2025-01-13 14:00:00,266.79028,47.5,13.3
2025-01-13 15:00:00,268.32544,47.5,13.3
2025-01-13 16:00:00,267.9402,47.5,13.3
2025-01-13 17:00:00,266.47827,47.5,13.3
2025-01-13 18:00:00,262.90063,47.5,13.3
2025-01-13 19:00:00,260.93628,47.5,13.3
2025-01-13 20:00:00,260.16113,47.5,13.3
2025-01-13 21:00:00,258.9475,47.5,13.3
2025-01-13 22:00:00,259.1443,47.5,13.3
2025-01-13 23:00:00,258.2744,47.5,13.3
2025-01-14 00:00:00,256.44556,47.5,13.3
2025-01-14 01:00:00,255.65323,47.5,13.3
2025-01-14 02:00:00,255.99968,47.5,13.3
2025-01-14 03:00:00,255.94751,47.5,13.3
2025-01-14 04:00:00,255.58778,47.5,13.3
2025-01-14 05:00:00,254.97507,47.5,13.3
2025-01-14 06:00:00,255.0774,47.5,13.3
2025-01-14 07:00:00,254.8564,47.5,13.3
2025-01-14 08:00:00,256.00122,47.5,13.3
2025-01-14 09:00:00,260.15747,47.5,13.3
2025-01-14 10:00:00,268.45532,47.5,13.3
2025-01-14 11:00:00,271.188,47.5,13.3
2025-01-14 12:00:00,272.7495,47.5,13.3
2025-01-14 13:00:00,273.3694,47.5,13.3
2025-01-14 14:00:00,273.27344,47.5,13.3
2025-01-14 15:00:00,273.177,47.5,13.3
